proxy,latency
148.66.130.53:12005,20.794
128.199.116.34:4444,12.763
45.149.93.213:8080,4.049
167.172.91.219:8000,1.717
8.222.152.158:55555,7.086
103.118.175.200:3127,8.579
43.128.107.251:8888,1.699
150.109.94.58:3128,10.191
154.26.138.203:3128,21.8
157.230.38.143:3128,19.475
104.248.151.220:63648,7.003
148.72.212.198:55726,6.526
165.22.98.229:33975,6.44
107.155.65.11:3128,22.693
43.156.99.158:3128,7.333
188.166.186.145:8000,1.754
149.28.141.180:65201,8.736
128.199.244.96:1234,23.116
37.44.244.191:3128,21.908
45.125.193.37:8080,4.443
137.116.142.82:80,17.264
8.222.188.148:3128,10.564
165.22.96.68:3128,14.467
139.177.190.161:3128,6.429
157.230.33.25:8000,1.168
146.190.84.209:18255,14.849
208.109.13.93:8827,8.708
43.229.85.48:49665,5.522
128.199.251.219:8000,1.547
128.199.221.91:33383,10.766
