No,Title,Tags,Acceptance,Difficulty,Frequency
811,Subdomain Visit Count,[Array][Hash Table][String][Counting],76.1%,Medium,3.518387198801406
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,[Array][Hash Table][String][Sorting],45.8%,Medium,2.6026896854443837
1197,Minimum Knight Moves,[Breadth-First Search],40.3%,Medium,2.5707380856377813
1160,Find Words That Can Be Formed by Characters,[Array][Hash Table][String],70.7%,Easy,2.005333569526114
718,Maximum Length of Repeated Subarray,[Array][Binary Search][Dynamic Programming][Sliding Window][Rolling Hash][Hash Function],51.0%,Medium,1.7661826274384054
79,Word Search,[Array][String][Backtracking][Matrix],41.4%,Medium,0.8504851140813827
212,Word Search II,[Array][String][Backtracking][Trie][Matrix],36.2%,Hard,0.3030501026800949
68,Text Justification,[Array][String][Simulation],42.7%,Hard,0.1100008952143285
23,Merge k Sorted Lists,[Linked List][Divide and Conquer][Heap (Priority Queue)][Merge Sort],52.2%,Hard,0.061118815056045536
295,Find Median from Data Stream,[Two Pointers][Design][Sorting][Heap (Priority Queue)][Data Stream],51.8%,Hard,0.05480823649499502
347,Top K Frequent Elements,[Array][Hash Table][Divide and Conquer][Sorting][Heap (Priority Queue)][Bucket Sort][Counting][Quickselect],62.7%,Medium,0.03993432134306437
21,Merge Two Sorted Lists,[Linked List][Recursion],64.0%,Easy,0.024801491680249872
88,Merge Sorted Array,[Array][Two Pointers][Sorting],49.2%,Easy,0.008054816002141679
